,MonitoringDate,MonitoringLocationIdentifier,COD,DIN,DIP,DO,TPH,pH,month,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
0,2017-08-01,394,1.27,0.024,0.006,7.832099999999998,0.025,8.18,8,0,0,0,0,0,2,2,0,3
1,2018-08-01,394,1.08,0.071,0.006,8.523550000000004,0.018,8.27,8,0,0,0,0,0,0,3,0,3
2,2019-07-01,394,1.21,0.04,0.0,8.592999999999998,0.005,8.23,7,0,0,0,0,2,0,3,2,3
3,2020-05-01,394,0.66,0.092,0.003,8.967799999999999,0.015,7.94,5,0,0,0,0,2,0,3,2,3
4,2020-08-01,394,0.65,0.078,0.0,8.729200000000002,0.016,8.37,8,0,0,0,0,2,2,3,2,3
5,2020-10-01,394,1.1,0.124,0.008,9.263249999999994,0.009,8.1,10,0,0,0,0,2,0,3,2,3
6,2021-04-01,394,1.36,0.092,0.001,9.841650000000005,0.05,8.05,4,0,0,0,0,0,2,2,0,3
7,2021-07-01,394,1.21,0.04,0.0,8.592999999999998,0.005,8.23,7,0,0,0,0,2,0,3,2,3
8,2021-10-01,394,1.065,0.13,0.008,10.104949999999997,0.0055,8.24,10,0,0,0,0,2,0,3,2,3
9,2022-07-01,394,1.21,0.145,0.0,8.048799999999998,0.005,8.23,7,0,0,0,0,2,0,3,2,3
10,2017-08-01,395,1.0,0.035,0.006,7.528249999999995,0.015,8.14,8,0,0,0,2,0,2,0,0,3
11,2018-08-01,395,0.93,0.064,0.006,8.689650000000002,0.014,8.25,8,0,0,0,0,0,0,3,0,3
12,2019-07-01,395,1.123,0.03,0.001,8.811999999999998,0.003,8.19,7,0,0,0,0,2,0,3,2,3
13,2020-05-01,395,1.11,0.107,0.009,8.5408,0.013,7.87,5,0,0,0,0,0,2,3,0,3
14,2020-08-01,395,0.87,0.069,0.001,9.195450000000001,0.014,8.46,8,0,0,0,0,2,0,3,2,3
15,2020-10-01,395,1.21,0.112,0.006,8.708649999999992,0.013,8.12,10,0,0,0,0,2,0,3,2,3
16,2021-04-01,395,0.69,0.12,0.01,9.908199999999999,0.007,8.04,4,0,0,0,0,2,0,3,2,3
17,2021-07-01,395,1.123,0.03,0.001,8.811999999999998,0.003,8.19,7,0,0,0,0,2,0,3,2,3
18,2021-10-01,395,1.115,0.1015,0.0075,9.185750000000008,0.0085,8.155,10,0,0,0,0,2,0,3,2,3
19,2022-07-01,395,1.04,0.05,0.0,8.530399999999995,0.003,8.07,7,0,0,0,0,2,0,3,2,3
20,2017-08-01,396,1.12,0.057,0.006,7.402099999999999,0.033,8.14,8,0,0,0,2,0,2,2,0,3
21,2018-08-01,396,1.02,0.082,0.006,8.564999999999998,0.01,8.17,8,0,0,0,0,2,0,3,2,3
22,2019-07-01,396,1.01,0.051,0.001,8.6855,0.005,8.16,7,0,0,0,0,2,0,3,2,3
23,2020-05-01,396,0.98,0.044,0.004,9.042900000000001,0.026,7.92,5,0,0,0,0,2,0,3,2,3
24,2020-08-01,396,0.89,0.082,0.001,9.071699999999996,0.0,8.37,8,0,0,0,0,2,0,3,2,3
25,2020-10-01,396,1.11,0.071,0.007,8.138800000000002,0.072,8.03,10,0,0,0,0,0,2,2,0,3
26,2021-04-01,396,0.74,0.092,0.011,10.064999999999998,0.004,8.04,4,0,0,0,0,2,0,3,2,3
