,MonitoringDate,MonitoringLocationIdentifier,CODMn,DO,NH4N,pH,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
0,2012-05-28,1,2.9,6.04,0.07,7.9,1,0,1,1,1,0,1,0,2
1,2012-06-04,1,2.7,6.62,0.04,7.8,1,0,1,1,1,0,1,0,2
2,2012-06-11,1,1.0,6.39,0.02,7.8,1,0,1,1,1,0,1,0,2
3,2012-06-18,1,1.3,5.6,1.33,7.7,1,0,0,1,1,1,1,0,2
4,2012-06-25,1,3.0,4.63,2.66,7.7,0,1,0,2,0,2,2,1,3
5,2012-07-02,1,6.9,5.04,0.05,7.9,1,1,0,1,0,0,2,1,0
6,2012-07-09,1,4.6,5.07,0.06,8.0,1,1,1,1,0,0,2,1,0
7,2012-07-16,1,10.2,5.24,0.07,7.9,1,0,0,1,1,0,2,0,0
8,2012-07-30,1,6.6,6.67,0.07,8.0,1,0,1,0,1,0,2,0,0
9,2012-08-06,1,2.8,5.97,0.09,8.0,1,0,1,1,1,0,1,0,2
10,2012-08-13,1,2.3,6.49,0.11,8.0,1,0,1,0,1,0,1,0,2
11,2012-08-20,1,3.1,5.9,0.09,7.9,1,0,1,1,1,0,1,0,2
12,2012-08-27,1,1.8,6.04,0.06,8.2,1,0,1,0,1,0,1,0,0
13,2012-09-03,1,2.3,5.15,0.08,8.1,1,0,1,1,1,0,1,0,2
14,2012-09-10,1,1.9,4.84,0.07,8.1,1,1,1,1,0,0,1,1,2
15,2012-09-17,1,2.8,5.81,0.06,8.0,1,0,1,1,1,0,1,0,2
16,2012-09-24,1,3.1,6.4,0.07,8.0,1,0,1,0,1,0,1,0,0
17,2012-10-01,1,3.2,6.82,0.1,8.2,1,0,1,0,2,0,0,2,0
18,2012-10-08,1,3.6,6.66,0.08,8.3,1,0,1,0,2,0,0,2,0
19,2012-10-22,1,4.9,6.18,0.12,8.4,1,0,1,0,2,0,0,2,0
20,2012-10-29,1,5.0,6.01,0.2,8.3,1,0,1,0,2,0,0,2,0
21,2012-11-05,1,6.7,6.59,0.17,8.5,1,0,1,0,2,0,0,2,0
22,2012-11-19,1,4.2,7.68,0.18,8.4,1,0,1,0,1,0,0,0,0
23,2012-11-26,1,2.0,6.68,0.19,8.4,1,0,1,0,1,0,0,0,0
24,2012-12-03,1,1.9,5.91,0.23,8.4,1,0,1,0,1,0,0,0,0
25,2012-12-10,1,1.7,5.72,0.2,8.4,1,0,1,0,1,0,0,0,0
26,2012-12-17,1,1.7,6.7,0.32,8.0,1,0,1,0,1,0,1,0,2
27,2012-12-24,1,1.6,10.1,0.24,8.2,1,0,1,0,1,0,0,0,0
28,2012-12-31,1,2.5,9.65,0.13,7.3,1,0,0,1,1,1,1,0,3
29,2013-01-07,1,2.2,7.21,0.24,8.5,1,0,1,0,2,0,0,2,0
30,2013-01-14,1,0.7,7.31,0.31,8.6,1,0,1,0,1,0,0,0,0
31,2013-01-21,1,2.2,7.89,0.35,8.6,1,0,1,0,2,0,0,2,0
32,2013-01-28,1,3.7,7.86,0.32,8.6,1,0,1,0,2,0,0,2,0
33,2013-02-04,1,3.9,8.12,0.37,8.7,1,0,1,0,2,0,0,2,0
34,2013-02-11,1,2.8,9.21,0.37,8.8,1,0,1,0,2,0,0,2,0
35,2013-02-18,1,2.3,9.11,0.36,8.8,1,0,1,0,2,0,0,2,0
36,2013-02-25,1,1.9,7.39,0.25,8.6,1,0,1,0,2,0,0,2,0
37,2013-03-04,1,2.3,8.92,0.26,8.8,1,0,1,0,2,0,0,2,0
38,2013-03-11,1,1.7,8.28,0.18,8.6,1,0,1,0,1,0,0,0,0
39,2013-03-18,1,2.7,7.27,0.16,8.5,1,0,1,0,2,0,0,2,0
40,2013-03-25,1,3.7,7.11,0.18,8.4,1,0,1,0,2,0,0,2,0
41,2013-04-01,1,3.2,7.17,0.21,8.4,1,0,1,0,2,0,0,2,0
42,2013-04-08,1,1.9,6.92,0.18,8.4,1,0,1,0,1,0,0,0,0
43,2013-04-15,1,2.6,7.17,0.09,8.5,1,0,1,0,2,0,0,2,0
44,2013-04-22,1,2.9,6.67,0.11,7.6,1,0,0,1,1,1,1,0,2
45,2013-04-29,1,5.6,5.99,0.09,7.6,1,0,0,1,1,1,2,0,3
46,2013-05-06,1,3.6,6.28,0.09,8.1,1,0,1,0,1,0,0,0,0
47,2013-05-13,1,1.8,7.19,0.1,7.5,1,0,0,1,1,1,1,0,2
48,2013-05-20,1,2.3,7.07,0.11,7.6,1,0,0,1,1,1,1,0,2
49,2013-05-27,1,2.8,6.96,0.08,7.5,1,0,0,1,1,1,1,0,2
50,2013-06-03,1,4.6,6.72,0.08,7.7,1,0,0,1,1,0,2,0,2
51,2013-06-10,1,3.5,6.3,0.1,8.0,1,0,1,0,1,0,0,0,0
52,2013-06-17,1,2.6,6.46,0.16,8.0,1,0,1,0,1,0,1,0,2
53,2013-06-24,1,2.4,5.84,0.12,8.0,1,0,1,1,1,0,1,0,2
54,2013-07-01,1,4.2,6.72,0.13,8.0,1,0,1,0,1,0,0,0,0
55,2013-07-08,1,3.8,6.7,0.13,8.0,1,0,1,0,1,0,0,0,0
56,2013-07-15,1,3.4,6.73,0.12,7.9,1,0,1,1,1,0,1,0,2
57,2013-07-22,1,3.2,6.19,0.13,7.8,1,0,1,1,1,0,1,0,2
58,2013-07-29,1,2.9,6.71,0.11,7.9,1,0,1,1,1,0,1,0,2
59,2013-08-05,1,3.4,6.64,0.12,7.9,1,0,1,1,1,0,1,0,2
60,2013-08-12,1,4.3,6.46,0.18,8.0,1,0,1,0,1,0,2,0,0
