MonitoringLocationIdentifier,LongitudeMeasure_WGS84,LatitudeMeasure_WGS84,MonitoringDate,IndicatorsName,Value,Unit,SourceProvider
205,114.8288889,30.58305556,7/1/1980,BOD,1.6,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/1/1980,DO,13.3,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,8/1/1980,BOD,1.1,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,8/1/1980,TSSs,11,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,21/1/1980,BOD,3,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,21/1/1980,pH,8.2,pH,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,21/1/1980,pH,8.3,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,21/1/1980,TSSs,70,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,22/1/1980,DO,9.4,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,6/2/1980,DO,11.9,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,6/2/1980,TEMP,4.6,Deg C,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,7/2/1980,pH,7.8,pH,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,7/2/1980,TEMP,12,Deg C,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/2/1980,DO,13.6,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,25/2/1980,BOD,1.2,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,26/2/1980,BOD,0.3,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,26/2/1980,TSSs,23,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/3/1980,BOD,2,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/3/1980,pH,8.4,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,10/3/1980,pH,7.9,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,10/3/1980,TSSs,138,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,11/3/1980,DO,8.3,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,25/3/1980,pH,7.8,pH,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,25/3/1980,TEMP,17.8,Deg C,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,29/3/1980,DO,10.4,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,29/3/1980,TEMP,10.2,Deg C,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,7/4/1980,BOD,0.8,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/4/1980,DO,10.8,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/4/1980,TEMP,10,Deg C,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,8/4/1980,BOD,1,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,8/4/1980,TSSs,26,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/4/1980,BOD,0.8,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,22/4/1980,pH,7.9,pH,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/4/1980,pH,8.4,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,22/4/1980,TSSs,210,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,23/4/1980,DO,7.3,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,6/5/1980,pH,8,pH,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,6/5/1980,TEMP,21,Deg C,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/5/1980,TSSs,1031,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,12/5/1980,DO,7.5,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,12/5/1980,TEMP,20.7,Deg C,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,22/5/1980,BOD,0.3,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/5/1980,DO,7.8,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/5/1980,TEMP,19.6,Deg C,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,22/5/1980,TSSs,95,mg/l,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,26/5/1980,BOD,0.4,mg/l,Global River Water Quality Archive (GRQA)
188,112.45,23.06916667,5/6/1980,DO,7.3,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,7/6/1980,pH,8.3,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,12/6/1980,pH,7.9,pH,Global River Water Quality Archive (GRQA)
205,114.8288889,30.58305556,12/6/1980,TSSs,193,mg/l,Global River Water Quality Archive (GRQA)
185,116.9833333,36.73333333,22/6/1980,BOD,1.3,mg/l,Global River Water Quality Archive (GRQA)
